2020-04-15 01:31:16.447  INFO [zuul-server,,,] 13268 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2020-04-15 01:31:24.947  INFO [zuul-server,,,] 13268 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@24405466, org.springframework.security.web.context.SecurityContextPersistenceFilter@7ab2ba47, org.springframework.security.web.header.HeaderWriterFilter@3b5da0b0, org.springframework.security.web.csrf.CsrfFilter@1573e8a5, org.springframework.security.web.authentication.logout.LogoutFilter@10b67f54, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@1edf71d9, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@210a26b, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@35010a6b, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@3b0ed98a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5c8b10b4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@642c72cf, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4d4b019e, org.springframework.security.web.session.SessionManagementFilter@559fd5ec, org.springframework.security.web.access.ExceptionTranslationFilter@20027c44, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@502c087e]
2020-04-15 01:31:27.375  WARN [zuul-server,,,] 13268 --- [main] ockingLoadBalancerClientRibbonWarnLogger : You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2020-04-15 01:31:32.482  INFO [zuul-server,,,] 13268 --- [main] o.s.c.n.zuul.ZuulFilterInitializer       : Starting filter initializer
2020-04-15 01:31:33.615  INFO [zuul-server,,,] 13268 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 2 endpoint(s) beneath base path '/actuator'
2020-04-15 01:31:33.955  INFO [zuul-server,,,] 13268 --- [main] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2020-04-15 01:31:34.205  INFO [zuul-server,,,] 13268 --- [main] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
2020-04-15 01:31:34.369  INFO [zuul-server,,,] 13268 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON encoding codec LegacyJacksonJson
2020-04-15 01:31:34.370  INFO [zuul-server,,,] 13268 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON decoding codec LegacyJacksonJson
2020-04-15 01:31:35.175  INFO [zuul-server,,,] 13268 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML encoding codec XStreamXml
2020-04-15 01:31:35.188  INFO [zuul-server,,,] 13268 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML decoding codec XStreamXml
2020-04-15 01:31:35.999  INFO [zuul-server,,,] 13268 --- [main] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-04-15 01:31:37.434  INFO [zuul-server,,,] 13268 --- [main] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
2020-04-15 01:31:37.436  INFO [zuul-server,,,] 13268 --- [main] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
2020-04-15 01:31:37.437  INFO [zuul-server,,,] 13268 --- [main] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2020-04-15 01:31:37.438  INFO [zuul-server,,,] 13268 --- [main] com.netflix.discovery.DiscoveryClient    : Application is null : false
2020-04-15 01:31:37.440  INFO [zuul-server,,,] 13268 --- [main] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2020-04-15 01:31:37.440  INFO [zuul-server,,,] 13268 --- [main] com.netflix.discovery.DiscoveryClient    : Application version is -1: true
2020-04-15 01:31:37.441  INFO [zuul-server,,,] 13268 --- [main] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2020-04-15 01:31:38.315  INFO [zuul-server,,,] 13268 --- [main] com.netflix.discovery.DiscoveryClient    : The response status is 200
2020-04-15 01:31:38.322  INFO [zuul-server,,,] 13268 --- [main] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 30
2020-04-15 01:31:38.326  INFO [zuul-server,,,] 13268 --- [main] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
2020-04-15 01:31:38.334  INFO [zuul-server,,,] 13268 --- [main] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1586907098331 with initial instances count: 4
2020-04-15 01:31:38.359  INFO [zuul-server,,,] 13268 --- [main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application ZUUL-SERVER with eureka with status UP
2020-04-15 01:31:38.361  INFO [zuul-server,,,] 13268 --- [main] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1586907098361, current=UP, previous=STARTING]
2020-04-15 01:31:38.366  INFO [zuul-server,,,] 13268 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_ZUUL-SERVER/LAPTOP-R62TREJ2.home:zuul-server:9004: registering service...
2020-04-15 01:31:39.130  INFO [zuul-server,,,] 13268 --- [main] c.U.z.ZuulServerApplicationTests         : Started ZuulServerApplicationTests in 39.882 seconds (JVM running for 44.444)
2020-04-15 01:31:39.540  INFO [zuul-server,,,] 13268 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_ZUUL-SERVER/LAPTOP-R62TREJ2.home:zuul-server:9004 - registration status: 204
2020-04-15 01:31:40.902  INFO [zuul-server,,,] 13268 --- [SpringContextShutdownHook] o.s.c.n.e.s.EurekaServiceRegistry        : Unregistering application ZUUL-SERVER with eureka with status DOWN
2020-04-15 01:31:40.905  WARN [zuul-server,,,] 13268 --- [SpringContextShutdownHook] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1586907100905, current=DOWN, previous=UP]
2020-04-15 01:31:40.909  INFO [zuul-server,,,] 13268 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_ZUUL-SERVER/LAPTOP-R62TREJ2.home:zuul-server:9004: registering service...
2020-04-15 01:31:40.942  INFO [zuul-server,,,] 13268 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_ZUUL-SERVER/LAPTOP-R62TREJ2.home:zuul-server:9004 - registration status: 204
2020-04-15 01:31:40.923  INFO [zuul-server,,,] 13268 --- [SpringContextShutdownHook] o.s.c.n.zuul.ZuulFilterInitializer       : Stopping filter initializer
2020-04-15 01:31:40.972  INFO [zuul-server,,,] 13268 --- [SpringContextShutdownHook] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-15 01:31:41.016  INFO [zuul-server,,,] 13268 --- [SpringContextShutdownHook] com.netflix.discovery.DiscoveryClient    : Shutting down DiscoveryClient ...
2020-04-15 01:31:44.021  INFO [zuul-server,,,] 13268 --- [SpringContextShutdownHook] com.netflix.discovery.DiscoveryClient    : Unregistering ...
2020-04-15 01:31:44.042  INFO [zuul-server,,,] 13268 --- [SpringContextShutdownHook] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_ZUUL-SERVER/LAPTOP-R62TREJ2.home:zuul-server:9004 - deregister  status: 200
2020-04-15 01:31:44.080  INFO [zuul-server,,,] 13268 --- [SpringContextShutdownHook] com.netflix.discovery.DiscoveryClient    : Completed shut down of DiscoveryClient
